Unnamed: 0,NAME,PAGE,IMG_URL,LOGP,PKA,MW,FORM,SOL,DESC
0,Pyridoxal phosphate,https://www.drugbank.ca/drugs/DB00114,https://www.drugbank.ca/structures/DB00114thumb.svg,0.21175355,0.86283213,247.14191,C8H10NO6P,116.95,N/A
1,Tetrahydrofolic acid,https://www.drugbank.ca/drugs/DB00116,https://www.drugbank.ca/structures/DB00116thumb.svg,0.20530428,0.91797876,445.4292,C19H23N7O6,207.27,N/A
2,Histidine,https://www.drugbank.ca/drugs/DB00117,https://www.drugbank.ca/structures/DB00117thumb.svg,0.31459665,0.90590167,155.1546,C6H9N3O2,92,N/A
3,Ademetionine,https://www.drugbank.ca/drugs/DB00118,https://www.drugbank.ca/structures/DB00118thumb.svg,0.39357546,0.77177322,398.44,C15H22N6O5S,185.46001,N/A
4,Pyruvic acid,https://www.drugbank.ca/drugs/DB00119,https://www.drugbank.ca/structures/DB00119thumb.svg,0.40047398,0.61393136,88.062103,C3H4O3,54.369999,N/A
5,Phenylalanine,https://www.drugbank.ca/drugs/DB00120,https://www.drugbank.ca/structures/DB00120thumb.svg,0.26457691,0.84833783,165.1891,C9H11NO2,63.32,N/A
6,Biotin,https://www.drugbank.ca/drugs/DB00121,https://www.drugbank.ca/structures/DB00121thumb.svg,0.16927883,0.90830356,244.311,C10H16N2O3S,78.43,N/A
7,Choline,https://www.drugbank.ca/drugs/DB00122,https://www.drugbank.ca/structures/DB00122thumb.svg,0.34469214,0.98964429,104.1708,C5H14NO,20.23,N/A
8,L-Lysine,https://www.drugbank.ca/drugs/DB00123,https://www.drugbank.ca/structures/DB00123thumb.svg,0.11257816,0.92986095,146.18761,C6H14N2O2,89.339996,N/A
9,Arginine,https://www.drugbank.ca/drugs/DB00125,https://www.drugbank.ca/structures/DB00125thumb.svg,0.17571343,0.90545994,174.201,C6H14N4O2,125.22,N/A
10,Ascorbic acid,https://www.drugbank.ca/drugs/DB00126,https://www.drugbank.ca/structures/DB00126thumb.svg,0.31316751,0.8239243,176.1241,C6H8O6,107.22,N/A
11,Spermine,https://www.drugbank.ca/drugs/DB00127,https://www.drugbank.ca/structures/DB00127thumb.svg,0.014619078,0.99240911,202.34019,C10H26N4,76.099998,N/A
12,Aspartic acid,https://www.drugbank.ca/drugs/DB00128,https://www.drugbank.ca/structures/DB00128thumb.svg,0.42100075,0.83594239,133.10271,C4H7NO4,100.62,N/A
13,Ornithine,https://www.drugbank.ca/drugs/DB00129,https://www.drugbank.ca/structures/DB00129thumb.svg,0.29727173,0.92009544,132.161,C5H12N2O2,89.339996,N/A
14,L-Glutamine,https://www.drugbank.ca/drugs/DB00130,https://www.drugbank.ca/structures/DB00130thumb.svg,0.25859553,0.87599212,146.1445,C5H10N2O3,106.41,N/A
15,Adenosine phosphate,https://www.drugbank.ca/drugs/DB00131,https://www.drugbank.ca/structures/DB00131thumb.svg,0.26020309,0.79641753,347.22119,C10H14N5O7P,186.07001,N/A
16,alpha-Linolenic acid,https://www.drugbank.ca/drugs/DB00132,https://www.drugbank.ca/structures/DB00132thumb.svg,0.39568624,0.67681026,278.4296,C18H30O2,37.299999,N/A
17,Serine,https://www.drugbank.ca/drugs/DB00133,https://www.drugbank.ca/structures/DB00133thumb.svg,0.5375548,0.68246341,105.0926,C3H7NO3,83.550003,N/A
18,Methionine,https://www.drugbank.ca/drugs/DB00134,https://www.drugbank.ca/structures/DB00134thumb.svg,0.31917745,0.85202014,149.211,C5H11NO2S,63.32,N/A
19,Tyrosine,https://www.drugbank.ca/drugs/DB00135,https://www.drugbank.ca/structures/DB00135thumb.svg,0.21018864,0.8794601,181.18851,C9H11NO3,83.550003,N/A
20,Calcitriol,https://www.drugbank.ca/drugs/DB00136,https://www.drugbank.ca/structures/DB00136thumb.svg,0.11909317,0.96704173,416.63651,C27H44O3,60.689999,N/A
21,Lutein,https://www.drugbank.ca/drugs/DB00137,https://www.drugbank.ca/structures/DB00137thumb.svg,0.039483737,0.99296975,568.88599,C40H56O2,40.459999,N/A
22,Cystine,https://www.drugbank.ca/drugs/DB00138,https://www.drugbank.ca/structures/DB00138thumb.svg,0.17014976,0.98967344,240.3,C6H12N2O4S2,126.64,N/A
